time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper
0.162840,-0.61167483847,-1.12747587781,-0.113514578174,0.872068076917,0.00268446637573,1.72150993724,1.637140994,100.0
0.162901,-0.61167483847,-1.12747587781,-0.113514578174,0.872068076917,0.00268446637573,1.72150993724,1.637140994,100.0
0.172969,-0.611291343274,-1.1286263634,-0.11389807337,0.87168458172,0.0023009711792,1.72150993724,1.6375244892,100.0
0.182975,-0.612058333667,-1.1282428682,-0.114281568567,0.87168458172,0.00306796157227,1.72150993724,1.6375244892,100.0
0.192973,-0.611291343274,-1.1282428682,-0.11389807337,0.871301086523,0.00268446637573,1.72189343243,1.63790798439,100.0
0.202964,-0.611291343274,-1.12747587781,-0.114281568567,0.87168458172,0.00306796157227,1.72150993724,1.6375244892,100.0
0.212971,-0.610907848077,-1.1286263634,-0.113514578174,0.871301086523,0.00268446637573,1.72189343243,1.63790798439,100.0
0.222974,-0.610524352881,-1.1282428682,-0.114281568567,0.871301086523,0.00268446637573,1.72150993724,1.63790798439,100.0
0.232972,-0.611291343274,-1.1282428682,-0.114281568567,0.870917591327,0.0034514567688,1.71997595645,1.63790798439,100.0
0.242975,-0.610907848077,-1.12747587781,-0.113514578174,0.87168458172,0.00268446637573,1.72150993724,1.6375244892,100.0
0.252970,-0.611291343274,-1.127859373,-0.113131082977,0.87168458172,0.00268446637573,1.72189343243,1.63790798439,100.0
0.262964,-0.611291343274,-1.1286263634,-0.114665063763,0.87168458172,0.00268446637573,1.72189343243,1.6375244892,100.0
0.272966,-0.611291343274,-1.1282428682,-0.113131082977,0.87168458172,0.0023009711792,1.71997595645,1.63790798439,100.0
0.282966,-0.610907848077,-1.1286263634,-0.11389807337,0.871301086523,0.0023009711792,1.72035945165,1.63790798439,100.0
0.292974,-0.610907848077,-1.1282428682,-0.11389807337,0.871301086523,0.00268446637573,1.72150993724,1.63790798439,100.0
0.302975,-0.611291343274,-1.1286263634,-0.113514578174,0.871301086523,0.0034514567688,1.72150993724,1.6375244892,100.0
0.312971,-0.611291343274,-1.1282428682,-0.113514578174,0.87168458172,0.00191747598267,1.72189343243,1.6375244892,100.0
